"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","left_right_width","initial",33,4,4,0.650681900035124,0.7,0.4,0.4,0.55,1.58466509997379,2.5,"exp2",0,0,0,1,1.6,1.6,0,0,0
"p301","left_right_width","initial",34,5,4,0.903381799987983,1.1,0.25,0.25,0.3,1.71451860002708,4.65,"exp2",-1,0,-0.2,1,1.25,1,-0.25,0,0
"p301","left_right_width","match",35,3,3,1.06098900001962,1.8,0.25,0.2,0.3,1.14589909999631,3.85,"exp2",0,-0.05,0,0.8,0.75,0.6,-0.15,-0.2,0.05
"p301","left_right_width","initial",36,4,4,0.839851700002328,0.9,0.55,0.35,0.45,1.1583122999873,3.25,"exp2",0,-0.2,0,0.636363636363636,2.2,1.4,-0.8,-0.363636363636364,0.2
"p301","left_right_width","match",37,4,3,1.08596290001879,0.466666666666667,0.4,0.35,0.2,2.27369300002465,1.8,"exp2",-1,-0.05,-0.25,0.875,1.6,1.05,-0.55,-0.125,0.05
"p301","left_right_width","initial",38,5,4,0.826341499981936,0.7,0.4,0.3,0.25,1.30503370001679,3.2,"exp2",-1,-0.1,-0.2,0.75,2,1.2,-0.8,-0.25,0.1
"p301","left_right_width","initial",39,4,4,0.843206299992744,0.7,0.25,0.3,0.2,1.7994990000152,2.35,"exp2",0,0.05,0,1.2,1,1.2,0.2,0.2,0.05
"p301","left_right_width","initial",40,5,4,1.25079590000678,0.9,0.25,0.25,0.2,1.16761979996227,3.85,"exp2",-1,0,-0.2,1,1.25,1,-0.25,0,0
"p301","left_right_width","initial",41,4,3,0.882704499992542,0.7,0.55,0.35,0.45,1.37518249999266,2.65,"exp2",-1,-0.2,-0.25,0.636363636363636,2.2,1.05,-1.15,-0.363636363636364,0.2
"p301","left_right_width","match",42,5,4,0.945243199996185,0.675,0.4,0.3,0.2,1.20925489999354,3.1,"exp2",-1,-0.1,-0.2,0.75,2,1.2,-0.8,-0.25,0.1
"p301","left_right_width","initial",43,5,4,0.615011400019284,1.1,0.55,0.35,0.55,2.38060209999094,4.95,"exp2",-1,-0.2,-0.2,0.636363636363636,2.75,1.4,-1.35,-0.363636363636364,0.2
"p301","left_right_width","initial",44,3,3,0.623679299955256,0.9,0.25,0.3,0.5,1.50919479998993,2.05,"exp2",0,0.05,0,1.2,0.75,0.9,0.15,0.2,0.05
"p301","left_right_width","initial",45,5,4,0.703505199984647,0.9,0.4,0.25,0.4,1.5233348000329,4,"exp2",-1,-0.15,-0.2,0.625,2,1,-1,-0.375,0.15
"p301","left_right_width","match",46,4,3,0.759908200008795,0.733333333333333,0.55,0.35,0.2,1.54464949999237,2.75,"exp2",-1,-0.2,-0.25,0.636363636363636,2.2,1.05,-1.15,-0.363636363636364,0.2
"p301","left_right_width","initial",47,3,3,0.693350200017449,1.1,0.4,0.3,0.4,1.75138859997969,2.6,"exp2",0,-0.1,0,0.75,1.2,0.9,-0.3,-0.25,0.1
"p301","left_right_width","match",48,3,3,0.632566600048449,1.4,0.25,0.2,0.3,1.16751380002825,3.05,"exp2",0,-0.05,0,0.8,0.75,0.6,-0.15,-0.2,0.05
"p301","left_right_width","initial",49,4,4,0.78734420001274,1.1,0.55,0.3,0.35,1.26748880004743,3.85,"exp2",0,-0.25,0,0.545454545454545,2.2,1.2,-1,-0.454545454545455,0.25
"p301","left_right_width","initial",50,3,3,0.458766200055834,0.7,0.55,0.35,0.4,1.14244780002628,1.95,"exp2",0,-0.2,0,0.636363636363636,1.65,1.05,-0.6,-0.363636363636364,0.2
"p301","left_right_width","initial",51,3,3,0.56206690002,1.1,0.55,0.35,0.2,1.54721200000495,2.75,"exp2",0,-0.2,0,0.636363636363636,1.65,1.05,-0.6,-0.363636363636364,0.2
"p301","left_right_width","match",52,5,4,0.640594700002111,0.525,0.25,0.25,0.4,1.58938359998865,2.35,"exp2",-1,5.55111512312578e-17,-0.2,1,1.25,1,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","left_right_width","initial",1,5,5,1.12778909999179,1.1,0.55,0.35,0.3,1.64203930000076,4.95,"exp2",0,-0.2,0,0.636363636363636,2.75,1.75,-1,-0.363636363636364,0.2
